year,country_name,gdp,gdp_diff,gdp_growth_pct
2024,Россия,2173.84,,
2023,Россия,2071.51,-102330081641.07983,-4.707351002638804
2022,Россия,2291.61,220106396304.06006,10.62543026767695
2021,Россия,1829.19,-462425401759.54004,-20.179043279375854
2020,Россия,1493.08,-336110825212.9602,-18.374877841395822
2019,Россия,1693.12,200039108346.18018,13.397785678646912
2018,Россия,1657.33,-35786229247.01001,-2.1136325169741066
2017,Россия,1574.20,-83129413372.31006,-5.015867382709793
2016,Россия,1276.79,-297413009207.8601,-18.892969769155876
2015,Россия,1363.48,86695831316.57007,6.790159626686121
2014,Россия,2059.24,695759407697.3,51.02812613039429
2013,Россия,2292.47,233228488451.2102,11.325941045271005
2012,Россия,2208.29,-84176524467.8003,-3.671870148400147
2011,Россия,2045.92,-162370800480.37988,-7.352772469729329
2010,Россия,1524.92,-521006038174.0901,-25.465577197807665
2009,Россия,1222.65,-302270815168.25,-19.822119604994846
2008,Россия,1660.85,438202158247.41016,35.840479915521506
2007,Россия,1299.70,-361144579821.4602,-21.744588736819303
2006,Россия,989.93,-309771407129.10693,-23.83400616046597
2005,Россия,764.02,-225916097871.43298,-22.821373749692153
2004,Россия,591.02,-172999282748.72498,-22.643411754924823
2003,Россия,430.35,-160669270547.5,-27.185234032629335
2002,Россия,345.47,-84876925767.02203,-19.722884763793257
2001,Россия,306.60,-38868423797.362976,-11.250866405496785
2000,Россия,259.71,-46891928423.55701,-15.294067756508401
1999,Россия,195.91,-63803013846.009,-24.567008937843482
1998,Россия,270.96,75048358511.508,38.30813056331046
1997,Россия,404.93,133973467329.43399,49.444825377331924
1996,Россия,391.72,-13204063447.37799,-3.2608346009066147
1995,Россия,395.54,3812294990.356018,0.973207238148821
1994,Россия,395.08,-459884486.39001465,-0.11626833151872074
1993,Россия,435.08,40006412602.372986,10.126224026526142
1992,Россия,460.29,25206843049.889038,5.793561617553644
1991,Россия,517.96,57672406062.237,12.529565335983106
1990,Россия,517.01,-948516735.0339966,-0.18312443221965014
1989,Россия,506.63,-10383146493.18103,-2.008289433483945
1988,Россия,554.83,48197360701.38898,9.51330103896526
