year,country_name,gdp,gdp_diff,gdp_growth_pct
2024,Россия,2173835806671.66,,
2023,Россия,2071505725030.58,-102330081641.07983,-4.707351002638804
2022,Россия,2291612121334.64,220106396304.06006,10.62543026767695
2021,Россия,1829186719575.1,-462425401759.54004,-20.179043279375854
2020,Россия,1493075894362.14,-336110825212.9602,-18.374877841395822
2019,Россия,1693115002708.32,200039108346.18018,13.397785678646912
2018,Россия,1657328773461.31,-35786229247.01001,-2.1136325169741066
2017,Россия,1574199360089.0,-83129413372.31006,-5.015867382709793
2016,Россия,1276786350881.14,-297413009207.8601,-18.892969769155876
2015,Россия,1363482182197.71,86695831316.57007,6.790159626686121
2014,Россия,2059241589895.01,695759407697.3,51.02812613039429
2013,Россия,2292470078346.22,233228488451.2102,11.325941045271005
2012,Россия,2208293553878.42,-84176524467.8003,-3.671870148400147
2011,Россия,2045922753398.04,-162370800480.37988,-7.352772469729329
2010,Россия,1524916715223.95,-521006038174.0901,-25.465577197807665
2009,Россия,1222645900055.7,-302270815168.25,-19.822119604994846
2008,Россия,1660848058303.11,438202158247.41016,35.840479915521506
2007,Россия,1299703478481.65,-361144579821.4602,-21.744588736819303
2006,Россия,989932071352.543,-309771407129.10693,-23.83400616046597
2005,Россия,764015973481.11,-225916097871.43298,-22.821373749692153
2004,Россия,591016690732.385,-172999282748.72498,-22.643411754924823
2003,Россия,430347420184.885,-160669270547.5,-27.185234032629335
2002,Россия,345470494417.863,-84876925767.02203,-19.722884763793257
2001,Россия,306602070620.5,-38868423797.362976,-11.250866405496785
2000,Россия,259710142196.943,-46891928423.55701,-15.294067756508401
1999,Россия,195907128350.934,-63803013846.009,-24.567008937843482
1998,Россия,270955486862.442,75048358511.508,38.30813056331046
1997,Россия,404928954191.876,133973467329.43399,49.444825377331924
1996,Россия,391724890744.498,-13204063447.37799,-3.2608346009066147
1995,Россия,395537185734.854,3812294990.356018,0.973207238148821
1994,Россия,395077301248.464,-459884486.39001465,-0.11626833151872074
1993,Россия,435083713850.837,40006412602.372986,10.126224026526142
1992,Россия,460290556900.726,25206843049.889038,5.793561617553644
1991,Россия,517962962962.963,57672406062.237,12.529565335983106
1990,Россия,517014446227.929,-948516735.0339966,-0.18312443221965014
1989,Россия,506631299734.748,-10383146493.18103,-2.008289433483945
1988,Россия,554828660436.137,48197360701.38898,9.51330103896526
